Framenumber;Time [s];Object 1: Video pixel (X) [px];Object 1: Video pixel (Y) [px];Object 1: X position [px];Object 1: Y position [px];Object 1: Distance [px];Object 1: Distance in x-direction [px];Object 1: Distance in y-direction [px];Object 1: Length [px];Object 1: Length in x-Direction [px];Object 1: Length in y-Direction [px];Object 1: Velocity [px/s];Object 1: Velocity in x-direction [px/s];Object 1: Velocity in y-direction [px/s];Object 1: Acceleration [px/s²];Object 1: Acceleration in x-Direction [px/s²];Object 1: Acceleration in y-Direction [px/s²];Object 2: Video pixel (X) [px];Object 2: Video pixel (Y) [px];Object 2: X position [px];Object 2: Y position [px];Object 2: Distance [px];Object 2: Distance in x-direction [px];Object 2: Distance in y-direction [px];Object 2: Length [px];Object 2: Length in x-Direction [px];Object 2: Length in y-Direction [px];Object 2: Velocity [px/s];Object 2: Velocity in x-direction [px/s];Object 2: Velocity in y-direction [px/s];Object 2: Acceleration [px/s²];Object 2: Acceleration in x-Direction [px/s²];Object 2: Acceleration in y-Direction [px/s²];
2;0.04;220;374;220;374;10.2;10;2;10.2;10;2;254.95;250;50;-123.77;0;-1250;219;377;219;377;13;13;0;13;13;0;325;325;0;-2491.33;-2500;-312.5;
3;0.08;230;376;230;376;20;20;0;30.2;30;2;250;250;0;137.6;0;-937.5;232;377;232;377;18.03;18;-1;31.03;31;-1;225.35;225;-12.5;323.75;312.5;468.75;
5;0.16;250;376;250;376;10.44;10;-3;40.64;40;-1;261.01;250;-75;-275.19;0;1875;250;376;250;376;10.05;10;1;41.08;41;0;251.25;250;25;1722.73;0;-5625;
6;0.2;260;373;260;373;10;10;0;50.64;50;-1;250;250;0;1065.44;625;2500;260;377;260;377;12.81;10;-8;53.88;51;-8;320.16;250;-200;3176.43;3750;10000;
7;0.24;270;373;270;373;11.7;11;4;62.34;61;3;292.62;275;100;-1690.44;-1250;-2500;270;369;270;369;17.89;16;8;71.77;67;0;447.21;400;200;-7117.84;-5937.5;-5000;
8;0.28;281;377;281;377;18;18;0;80.34;79;3;225;225;0;404.88;0;-1562.5;286;377;286;377;13;13;0;84.77;80;0;162.5;162.5;0;1334.48;1093.75;-1250;
10;0.36;299;377;299;377;10.3;9;-5;90.64;88;-2;257.39;225;-125;440.23;1250;3125;299;377;299;377;10.77;10;-4;95.54;90;-4;269.26;250;-100;557.23;0;-1250;
11;0.4;308;372;308;372;11;11;0;101.64;99;-2;275;275;0;651;625;-625;309;373;309;373;11.66;10;-6;107.2;100;-10;291.55;250;-150;-1157.88;-208.33;4791.67;
12;0.44;319;372;319;372;12.04;12;-1;113.68;111;-3;301.04;300;-25;-2526;-2500;625;319;367;319;367;29.43;29;5;136.63;129;-5;245.23;241.67;41.67;-122.86;-138.89;-763.89;
13;0.48;331;371;331;371;16;16;0;129.68;127;-3;200;200;0;686.89;625;-625;;;;;;;;;;;;;;;;;
15;0.56;347;371;347;371;10.2;10;-2;139.88;137;-5;254.95;250;-50;-123.77;0;1250;348;372;348;372;9.22;9;-2;145.85;138;-7;230.49;225;-50;1486.17;1562.5;2187.5;
16;0.6;357;369;357;369;10;10;0;149.88;147;-5;250;250;0;1655.69;1250;2500;357;370;357;370;23.19;23;3;169.05;161;-4;289.94;287.5;37.5;-963.35;-937.5;-312.5;
17;0.64;367;369;367;369;12.65;12;4;162.53;159;-1;316.23;300;100;-2593.19;-2187.5;-2500;;;;;;;;;;;;;;;;;
18;0.68;379;373;379;373;17;17;0;179.53;176;-1;212.5;212.5;0;1001.47;781.25;-1250;380;373;380;373;17.03;17;1;186.08;178;-3;212.87;212.5;12.5;833.01;468.75;-1718.75;
20;0.76;396;373;396;373;11.7;11;-4;191.23;187;-5;292.62;275;-100;-1065.44;-625;2500;397;374;397;374;11.18;10;-5;197.26;188;-8;279.51;250;-125;743.11;1250;5000;
21;0.8;407;369;407;369;10;10;0;201.23;197;-5;250;250;0;275.19;0;1875;407;369;407;369;24.74;24;6;222;212;-2;309.23;300;75;-1321.85;-1250;-1406.25;
22;0.84;417;369;417;369;10.44;10;3;211.67;207;-2;261.01;250;75;-267.38;0;-2187.5;;;;;;;;;;;;;;;;;
23;0.88;427;372;427;372;20.02;20;-1;231.7;227;-3;250.31;250;-12.5;-247.8;-312.5;-468.75;431;375;431;375;16.28;16;-3;238.27;228;-5;203.49;200;-37.5;421.07;312.5;-468.75;
25;0.96;447;371;447;371;9.22;9;-2;240.92;236;-5;230.49;225;-50;762.98;625;-625;447;372;447;372;9.49;9;-3;247.76;237;-8;237.17;225;-75;1319.11;1562.5;2812.5;
26;1;456;369;456;369;10.44;10;-3;251.36;246;-8;261.01;250;-75;1103.91;0;6250;456;369;456;369;23.19;23;3;270.96;260;-5;289.94;287.5;37.5;-1080.63;-1093.75;0;
27;1.04;466;366;466;366;12.21;10;7;263.56;256;-1;305.16;250;175;-1347.92;0;-5000;;;;;;;;;;;;;;;;;
28;1.08;476;373;476;373;20.1;20;-2;283.66;276;-3;251.25;250;-25;122.01;0;-625;479;372;479;372;16.28;16;3;287.23;276;-2;203.49;200;37.5;815.71;833.33;-885.42;
30;1.16;496;371;496;371;10.44;10;-3;294.1;286;-6;261.01;250;-75;103.93;312.5;2812.5;495;375;495;375;32.25;32;-4;319.48;308;-6;268.74;266.67;-33.33;-569.6;-555.56;173.61;
31;1.2;506;368;506;368;21.21;21;3;315.32;307;-3;265.17;262.5;37.5;-502.06;-468.75;-468.75;;;;;;;;;;;;;;;;;
33;1.28;527;371;527;371;18;18;0;333.32;325;-3;225;225;0;1140.35;937.5;-1250;527;371;527;371;16.03;16;-1;335.51;324;-7;200.39;200;-12.5;828.46;833.33;156.25;
35;1.36;545;371;545;371;12.65;12;-4;345.97;337;-7;316.23;300;-100;-2067.71;-1875;4062.5;543;370;543;370;32;32;0;367.51;356;-7;266.67;266.67;0;-218.54;-243.06;312.5;
36;1.4;557;367;557;367;18.68;18;5;364.65;355;-2;233.52;225;62.5;66.16;156.25;-1093.75;;;;;;;;;;;;;;;;;
38;1.48;575;372;575;372;19.1;19;-2;383.75;374;-4;238.81;237.5;-25;380.58;156.25;-937.5;575;370;575;370;19.24;19;3;386.75;375;-4;240.44;237.5;37.5;31.43;52.08;-781.25;
40;1.56;594;370;594;370;10.77;10;-4;394.52;384;-8;269.26;250;-100;-663.8;-312.5;3750;594;373;594;373;29.15;29;-3;415.9;404;-7;242.96;241.67;-25;-34.53;-34.72;0;
41;1.6;604;366;604;366;19.42;19;4;413.94;403;-4;242.71;237.5;50;-60.97;0;-781.25;;;;;;;;;;;;;;;;;
43;1.68;623;370;623;370;19.03;19;-1;432.97;422;-5;237.83;237.5;-12.5;1277.6;1093.75;-1093.75;623;370;623;370;19.1;19;-2;435.01;423;-9;238.81;237.5;-25;764.85;781.25;312.5;
45;1.76;642;369;642;369;13.6;13;-4;446.57;435;-9;340.04;325;-100;-3500.92;-3125;2500;642;368;642;368;12;12;0;447.01;435;-9;300;300;0;-1554.28;-1562.5;312.5;
46;1.8;655;365;655;365;16;16;0;462.57;451;-9;200;200;0;993.86;937.5;625;654;368;654;368;19.03;19;1;466.04;454;-8;237.83;237.5;12.5;12.29;0;-468.75;
48;1.88;671;365;671;365;22.36;22;4;484.93;473;-5;279.51;275;50;0;-312.5;-2187.5;673;369;673;369;19.1;19;-2;485.14;473;-10;238.81;237.5;-25;508.7;468.75;-312.5;
50;1.96;693;369;693;369;11.18;10;-5;496.11;483;-10;279.51;250;-125;-1041.99;-312.5;3437.5;692;367;692;367;11.18;11;-2;496.32;484;-12;279.51;275;-50;-1041.99;-937.5;1562.5;
51;2;703;364;703;364;19.03;19;1;515.13;502;-9;237.83;237.5;12.5;187.1;156.25;312.5;703;365;703;365;19.03;19;1;515.35;503;-11;237.83;237.5;12.5;152.14;156.25;-156.25;
53;2.08;722;365;722;365;20.22;20;3;535.36;522;-6;252.8;250;37.5;403.09;-312.5;-2656.25;722;366;722;366;20;20;0;535.35;523;-11;250;250;0;368.86;0;-1562.5;
55;2.16;742;368;742;368;11.4;9;-7;546.76;531;-13;285.04;225;-175;-970.56;0;6875;742;366;742;366;11.18;10;-5;546.53;533;-16;279.51;250;-125;-1242.47;-937.5;5312.5;
56;2.2;751;361;751;361;19.7;18;8;566.46;549;-5;246.22;225;100;262.48;468.75;-1875;752;361;752;361;18.38;17;7;564.91;550;-9;229.81;212.5;87.5;579.05;781.25;-1406.25;
58;2.28;769;369;769;369;21.38;21;-4;587.84;570;-9;267.22;262.5;-50;-262.48;-468.75;-625;769;368;769;368;22.09;22;-2;587;572;-11;276.13;275;-25;-845.43;-833.33;416.67;
60;2.36;790;365;790;365;9.85;9;-4;597.68;579;-13;246.22;225;-100;-1001.65;-625;3750;791;366;791;366;25.02;25;1;612.02;597;-10;208.5;208.33;8.33;-1529.17;-1736.11;-277.78;
61;2.4;799;361;799;361;16.49;16;4;614.18;595;-9;206.16;200;50;-2420.69;-2343.75;-625;;;;;;;;;;;;;;;;;
63;2.48;815;365;815;365;1;1;0;615.18;596;-9;12.5;12.5;0;1093.75;-156.25;-1250;816;367;816;367;2;0;-2;614.02;597;-12;25;0;-25;-79.58;104.17;520.83;
65;2.56;816;365;816;365;4;0;-4;619.18;596;-13;100;0;-100;-599.14;312.5;4375;816;365;816;365;2.24;1;2;616.26;598;-10;18.63;8.33;16.67;139.35;138.89;-347.22;
66;2.6;816;361;816;361;6.08;1;6;625.26;597;-7;76.03;12.5;75;-387.06;312.5;-1250;;;;;;;;;;;;;;;;;
68;2.68;817;367;817;367;3.61;3;-2;628.86;600;-9;45.07;37.5;-25;725.1;-156.25;-937.5;817;367;817;367;2.83;2;-2;619.09;600;-12;35.36;25;-25;546.27;0;-625;
70;2.76;820;365;820;365;4.12;1;-4;632.99;601;-13;103.08;25;-100;-894.08;0;4062.5;819;365;819;365;3.16;1;-3;622.25;601;-15;79.06;25;-75;-650.6;312.5;2812.5;
71;2.8;821;361;821;361;5.39;2;5;638.37;603;-8;67.31;25;62.5;-178.52;156.25;-1250;820;362;820;362;4.24;3;3;626.49;604;-12;53.03;37.5;37.5;35.86;156.25;-781.25;
73;2.88;823;366;823;366;4.24;3;-3;642.62;606;-11;53.03;37.5;-37.5;-101.96;52.08;677.08;823;365;823;365;4.47;4;-2;630.97;608;-14;55.9;50;-25;-232.92;-208.33;520.83;
75;2.96;826;363;826;363;5.39;5;2;648;611;-9;44.88;41.67;16.67;146.86;173.61;-138.89;827;363;827;363;4.47;4;2;635.44;612;-12;37.27;33.33;16.67;210.27;243.06;-138.89;
78;3.08;831;365;831;365;5;5;0;653;616;-9;62.5;62.5;0;364.58;364.58;0;831;365;831;365;5;5;0;640.44;617;-12;62.5;62.5;0;265.61;260.42;104.17;
80;3.16;836;365;836;365;11;11;0;664;627;-9;91.67;91.67;0;-388.31;-451.39;-208.33;836;365;836;365;10.05;10;1;650.49;627;-11;83.75;83.33;8.33;-232.06;-277.78;-277.78;
83;3.28;847;365;847;365;3.61;3;-2;667.61;630;-11;45.07;37.5;-25;320.52;156.25;-312.5;846;366;846;366;4.47;4;-2;654.96;631;-13;55.9;50;-25;488.91;520.83;625;
85;3.36;850;363;850;363;2.83;2;-2;670.44;632;-13;70.71;50;-50;1795.28;2187.5;2187.5;850;364;850;364;11.4;11;3;666.36;642;-10;95.01;91.67;25;-325.94;-347.22;-416.67;
86;3.4;852;361;852;361;11.4;11;3;681.84;643;-10;142.52;137.5;37.5;-1432.14;-1562.5;-156.25;;;;;;;;;;;;;;;;;
88;3.48;863;364;863;364;2.24;1;2;684.07;644;-8;27.95;12.5;25;815.23;885.42;-833.33;861;367;861;367;4.47;4;-2;670.83;646;-12;55.9;50;-25;465.85;520.83;520.83;
90;3.56;864;366;864;366;11.18;10;-5;695.25;654;-13;93.17;83.33;-41.67;-169.02;-173.61;659.72;865;365;865;365;11.18;11;2;682.01;657;-10;93.17;91.67;16.67;-334.47;-451.39;-451.39;
93;3.68;874;361;874;361;5.83;5;3;701.08;659;-10;72.89;62.5;37.5;215.65;156.25;-1093.75;876;367;876;367;4.24;3;-3;686.26;660;-13;53.03;37.5;-37.5;662.91;468.75;-468.75;
95;3.76;879;364;879;364;3.61;3;-2;704.69;662;-12;90.14;75;-50;416.53;625;2187.5;879;364;879;364;4.24;3;-3;690.5;663;-16;106.07;75;-75;296.47;625;3437.5;
96;3.8;882;362;882;362;8.54;8;3;713.23;670;-9;106.8;100;37.5;-538.28;-468.75;-625;882;361;882;361;9.43;8;5;699.93;671;-11;117.92;100;62.5;-677.34;-468.75;-937.5;
98;3.88;890;365;890;365;5.1;5;-1;718.33;675;-10;63.74;62.5;-12.5;-484.22;-781.25;-156.25;890;366;890;366;5.1;5;-1;705.03;676;-12;63.74;62.5;-12.5;453.28;-781.25;-1093.75;
100;3.96;895;364;895;364;1;0;-1;719.33;675;-11;25;0;-25;2204.81;2812.5;937.5;895;365;895;365;4;0;-4;709.03;676;-16;100;0;-100;1562.5;3750;4062.5;
101;4;895;363;895;363;9.06;9;1;728.39;684;-10;113.19;112.5;12.5;-310.05;-312.5;-312.5;895;361;895;361;13;12;5;722.03;688;-11;162.5;150;62.5;-1250;-1250;-1250;
103;4.08;904;364;904;364;7.07;7;-1;735.46;691;-11;88.39;87.5;-12.5;-792.35;-781.25;156.25;907;366;907;366;5;4;-3;727.03;692;-14;62.5;50;-37.5;162.02;312.5;572.92;
105;4.16;911;363;911;363;1;1;0;736.46;692;-11;25;25;0;1275.86;1250;312.5;911;363;911;363;9.06;9;1;736.09;701;-13;75.46;75;8.33;164.46;104.17;-381.94;
106;4.2;912;363;912;363;6.08;6;1;742.54;698;-10;76.03;75;12.5;490.12;468.75;-468.75;;;;;;;;;;;;;;;;;
108;4.28;918;364;918;364;9.22;9;-2;751.76;707;-12;115.24;112.5;-25;0;0;0;920;364;920;364;7.62;7;-3;743.7;708;-16;95.2;87.5;-37.5;0;0;0;
110;4.36;927;362;927;362;0;0;0;0;0;0;0;0;0;0;0;0;927;361;927;361;0;0;0;0;0;0;0;0;0;0;0;0;
